Dimension,Item,Items-Sit
Relationship - Support,There are people I can depend on to help me,How much does this experience indicate there are people the speaker depended on to help them?
Relationship - Support,There are people who give me support and encouragement,How much does this experience indicate there are people who gave the speaker support and encouragement?
Relationship - Support,There are people who appreciate me as a person,How much does this experience indicate there are people who appreciated the speaker as a person?
Relationship - Community,I pitch in to help when my local community needs something done,How much does this experience indicate the speaker pitched in to help when their local community needed something done?
Relationship - Community,I invite my neighbors to my home,How much does this experience indicate the speaker invited their neighbors to their home?
Relationship - Community,I look for ways to help my neighbors when they are in need,How much does this experience indicate the speaker looked for ways to help their neighbors when they are in need?
Relationship - Trust,I can trust people in my society,How much does this experience indicate the speaker trusted people in their society?
Relationship - Trust,People in my neighborhood can be trusted,How much does this experience indicate people in the speaker's neighborhood could be trusted?
Relationship - Trust,Most people I meet are honest,How much does this experience indicate most people the speaker met were honest?
Relationship - Respect,People respect me,How much does this experience indicate people respected the speaker?
Relationship - Respect,People are polite to me,How much does this experience indicate people were polite to the speaker?
Relationship - Respect,I am treated with the same amount of respect as others,How much does this experience indicate the speaker was treated with the same amount of respect as others?
Relationship - Loneliness,I feel lonely,How much does this experience indicate the speaker felt lonely?
Relationship - Loneliness,I often feel left out,How much does this experience indicate the speaker often felt left out?
Relationship - Loneliness,There is no one I feel close to,How much does this experience indicate there was no one the speaker felt close to?
Relationship - Belonging,I feel a sense of belonging in my community,How much does this experience indicate the speaker felt a sense of belonging in their community?
Relationship - Belonging,I feel a sense of belonging in my state or province,How much does this experience indicate the speaker felt a sense of belonging in their state or province?
Relationship - Belonging,I feel a sense of belonging in my country,How much does this experience indicate the speaker felt a sense of belonging in their country?
Engagement,I get fully absorbed in activities I do,How much does this experience indicate the speaker was fully absorbed in the activities they were doing?
Engagement,"In most activities I do, I feel energized",How much does this experience indicate the speaker felt energized in most activities they do?
Engagement,I get excited when I work on something,How much does this experience indicate the speaker felt excited when they were working on something?
Mastery - Skills,I use my skills a lot in my everyday life,How much does this experience indicate the speaker used their skills a lot in their everyday life?
Mastery - Skills,I frequently use my talents,How much does this experience indicate the speaker used their talents?
Mastery - Skills,I get to do what I am good at everyday,How much does this experience indicate the speaker felt they do what they are good at everyday?
Mastery - Learning,I learned something new yesterday,How much does this experience indicate the speaker learned something new?
Mastery - Learning,Learning new things is important to me,How much does this experience indicate the speaker felt learning new things is important?
Mastery - Learning,I always learn something everyday,How much does this experience indicate the speaker always learns something everyday?
Mastery - Accomplishment,I am achieving most of my goals,How much does this experience indicate the speaker felt they achieved most of their goals?
Mastery - Accomplishment,I am fulfilling my ambitions,How much does this experience indicate the speaker felt they fulfilled their ambitions?
Mastery - Accomplishment,I am on track to reach my dreams,How much does this experience indicate the speaker felt they were on track to reach their dreams?
Mastery - Self-Efficacy,I can succeed if I put my mind to it,How much does this experience indicate the speaker succeeded when they put their mind to it?
Mastery - Self-Efficacy,I am confident that I can deal with unexpected events,How much does this experience indicate the speaker was confident that they could deal with unexpected events?
Mastery - Self-Efficacy,I believe that I am capable in most things,How much does this experience indicate the speaker believed that they are capable in most things?
Mastery - Self-Worth,What I do in life is valuable and worthwhile,How much does this experience indicate the speaker felt what they do in life is valuable and worthwhile?
Mastery - Self-Worth,The things I do contribute to society,How much does this experience indicate the speaker felt the things they did contributed to society?
Mastery - Self-Worth,The work I do is important for other people,How much does this experience indicate the speaker felt the work they did was important for other people?
Autonomy - Control,Other people decide most of my life decisions (R),How much does this experience indicate other people decided most of the speaker's life decisions?
Autonomy - Control,The life choices I make are not really mine (R),How much does this experience indicate the life choices the speaker made were not really theirs?
Autonomy - Control,Other people decide what I can and cannot do (R),How much does this experience indicate other people decided what the speaker could and could not do?
Meaning,My life has a clear sense of purpose,How much does this experience indicate the speaker felt their life has a clear sense of purpose?
Meaning,I have found a satisfactory meaning in life,How much does this experience indicate the speaker felt they had found a satisfactory meaning in life?
Meaning,I know what gives meaning to my life,How much does this experience indicate the speaker knew what gives meaning to their life?
Optimism,I am optimistic about my future,How much does this experience indicate the speaker felt optimistic about their future?
Optimism,I have a positive outlook on life,How much does this experience indicate the speaker had a positive outlook on life?
Optimism,I expect more good things in my life than bad,How much does this experience indicate the speaker expected more good things in their life than bad?
Subjective Well-Being - Life Satisfaction,In most ways my life is close to my ideal,How much does this experience indicate the speaker felt in most ways their life was close to their ideal?
Subjective Well-Being - Life Satisfaction,I am satisfied with my life,How much does this experience indicate the speaker felt satisfied with their life?
Subjective Well-Being - Life Satisfaction,My life is going well,How much does this experience indicate the speaker felt their life is going well?
Subjective Well-Being - Positive Feelings,I feel positive most of the time,How much does this experience indicate the speaker felt positive most of the time?
Subjective Well-Being - Positive Feelings,I feel happy most of the time,How much does this experience indicate the speaker felt happy most of the time?
Subjective Well-Being - Positive Feelings,I feel good most of the time,How much does this experience indicate the speaker felt good most of the time?
Subjective Well-Being - Negative Feelings,I feel negative most of the time (R),How much does this experience indicate the speaker felt negative most of the time?
Subjective Well-Being - Negative Feelings,I experience unhappy feelings most of the time (R),How much does this experience indicate the speaker experienced unhappy feelings most of the time?
Subjective Well-Being - Negative Feelings,I feel bad most of the time (R),How much does this experience indicate the speaker felt bad most of the time?